,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
680,sh601388,怡球资源,铝,江苏,0.0,53300.0,53300.0,358323.94,268445.75,49140.6,111052.67,2.08,0.029,4.02,5.89,20120423
681,sz300055,万邦达,环境保护,北京,57.92,64327.32,86518.47,576082.31,297135.91,67233.0,139228.97,1.61,0.081,4.03,4.65,20100226
682,sh601600,中国铝业,铝,北京,772.44,1095983.25,1490379.88,18686514.0,6250601.5,7599013.5,1991584.25,1.34,0.001,2.6,1.53,20070430
683,sz300226,上海钢联,互联网,上海,559.84,14158.03,15600.0,344433.13,307241.31,21833.35,33018.56,2.12,0.026,2.32,24.89,20110608
684,sh600846,XD同济科,综合类,上海,59.79,62476.14,62476.14,884110.31,751209.31,20199.42,21943.32,0.35,0.042,2.9,3.44,19940311
685,sz300375,鹏翎股份,汽车配件,天津,39.7,7281.64,18593.19,143136.47,84202.6,35426.14,35162.8,1.89,0.164,6.25,4.17,20140127
686,sz300026,红日药业,中成药,天津,34.25,71038.32,100445.39,676468.06,382374.38,102184.13,261912.95,2.61,0.13,5.38,3.17,20091030
687,sh601000,唐山港,港口,河北,14.78,401588.5,404718.94,1661735.38,413964.44,1064195.13,369353.66,0.91,0.068,2.64,1.52,20100705
688,sz300093,金刚玻璃,玻璃,广东,3252.95,21527.09,21600.0,124844.81,69125.25,48187.19,38683.3,1.79,0.002,4.05,5.96,20100708
689,sz002300,太阳电缆,电气设备,福建,48.47,54265.89,54270.0,297160.16,144906.27,110804.9,34788.65,0.64,0.042,2.39,3.4,20091021
690,sh600157,永泰能源,煤炭开采,山西,251.08,459565.47,1242579.5,8757238.0,1542541.0,1925212.63,688733.81,0.55,0.004,1.81,2.25,19980513
691,sz002450,康得新,化工原料,江苏,35.04,286548.72,321975.28,1932535.63,1460821.5,342290.84,409028.31,1.27,0.124,2.99,5.82,20100716
692,sz002119,康强电子,半导体,浙江,141.5,20620.0,20620.0,147056.86,70073.81,55253.4,24444.63,1.19,0.036,3.2,6.43,20070302
693,sz002642,荣之联,软件服务,北京,891.48,34380.66,63624.05,460138.5,249642.72,23780.73,259620.3,4.08,0.008,5.63,4.8,20111220
694,sz002020,京新药业,化学制药,浙江,32.95,46329.07,63917.58,308469.63,152026.67,59674.9,152800.36,2.39,0.095,3.56,3.5,20040715
695,sz000403,ST生化,生物制药,山西,116.64,18730.6,27257.75,127440.9,43852.18,59391.36,11393.05,0.42,0.065,1.9,15.96,19960628
696,sh600196,复星医药,化学制药,上海,18.16,190683.7,231407.53,3961734.75,871516.69,475360.44,604793.44,2.61,0.274,8.08,2.46,19980807
697,sz002204,大连重工,专用机械,辽宁,283.79,193137.0,193137.0,1697360.75,1265420.38,327646.13,335091.25,1.73,0.004,3.39,1.24,20080116
698,sh600354,敦煌种业,种植业,甘肃,0.0,44780.21,52780.21,314097.25,194006.98,67547.86,90224.49,1.71,0.113,2.06,4.1,20040115
699,sz002224,三 力 士,橡胶,浙江,159.66,46799.17,65656.96,162435.38,107421.25,33666.07,11715.7,0.18,0.037,2.22,10.53,20080425
